variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
BelowTen;NA;0;0;0.0366922234392114;0.195178279935057;0;1;5.47152276325177;34.1849921618012
Female;8066;1;2;2.20865279299014;1.5426917122064;3;6;0.717163278595526;3.46656079769082
Male;6211;1;2;1.70071193866375;1.32996130872517;2;5;0.782202085158239;3.56533268656079
SixtyFivePlus;7992;1;2;2.18838992332968;1.52046099093845;3;6;0.72924548772716;3.48450318969449
TenToSixtyFour;6165;1;1;1.6881161007667;1.38602053651053;2;6;0.855794924494103;3.6907085769567
co;NA;0.181722399553283;0.333438322629718;0.525004304826781;0.573280005262141;0.653519194647494;2.95353842117166;2.7209650776291;12.3246116607076
death_count;14291;2;4;3.9131982475356;2.10875779736577;5;10;0.579667704204691;3.32734863510612
no;NA;4.82812760416667;6.92850103978458;9.54552456118691;8.25259823433422;10.8061600132631;38.7900009887261;2.88545248976979;16.2463446181017
no2;NA;8.13408234782531;11.6979808169314;14.7765413978471;10.8672182712647;17.6305537760417;57.8696322876603;2.05836447028298;8.27704180128145
nox;NA;12.4928991803453;18.0615833333333;22.7000720616235;16.4793373619068;26.7777770833333;92.9550784418862;2.35495868694161;9.86627377048891
o3;NA;21.3308811291436;27.4620416666667;30.1193553506268;13.7147617983699;35.6323860240114;84.337079740105;1.85189892953979;8.10914372119749
pm10;NA;22.4240572916666;39.8510551683419;53.7031027206577;43.2950191939433;73.0663197179343;195.192790878324;1.51799091587148;5.55554118640786
pm2.5;NA;11.5085047758866;19.5988096461618;25.4171490417929;20.8373239466814;31.667884765625;96.0145530240114;1.96424388577638;8.59785485710262
pressure;NA;836.52953125;839.014791666666;839.920803946246;6.08159610823111;842.101302083333;864.537016583754;3.69856943913863;29.0432997542849
relHum;NA;54.9110694077975;66.8614021250351;65.1569769258054;16.1244912794572;76.6062436293483;96.3069666666667;-0.417964081412461;2.73996082241009
so2;NA;5.25957278425199;8.33558282392553;10.2478512959002;7.27924017624759;13.1808490696089;36.2198650179839;1.75939760372494;7.70015272813895
temp;NA;9.85291169361441;14.8551041666667;13.8799262354012;5.53572990051036;18.3193454267048;23.2981145833333;-0.509390715151926;2.54856795678144
wd;NA;104.079039346785;171.125549395092;178.858689887871;82.1013713987427;252.471059924494;337.301509867838;0.121331227346662;1.81076429291514
ws;NA;1.75100216194969;2.461875;2.59064622248877;1.10801644429617;3.25186145354284;5.66800104166666;0.6985812329124;3.34735184340595
